,Name,Season,playerid,weightwRC,weightHR,weightPA,weightAB,weightR,weightH,weight2B,RBIsPredicted,linearSvrRBI,svrRBI,BayesRidgeRBI,HuberRegressorRBI,RidgeRBI,ARDRegressionRBI
231,Brock Holt,2019,9345,-0.42332609382773445,-0.8107859369793249,-0.6488168951516438,-0.6874668867454781,-0.5508829839100332,-0.5042041178289927,-0.3823832253827223,35.14336053477831,34.97582944386785,34.604644222760484,35.18213274715489,35.27174201605936,35.49200955969882,35.17443270075546
448,Mitch Garver,2019,15161,-0.5572695325462622,-0.8107859369793249,-0.7749967602627936,-0.7594302343735378,-0.7214785584775575,-0.5880097174654461,-0.2167869663518763,34.06162899964973,34.88461787651306,34.08136086736247,34.19569220571819,34.14303844406781,35.24569940440644,34.14131564966916
471,Yairo Munoz,2019,16313,-0.5572695325462622,-0.7103404686967245,-0.8146344142244113,-0.8262003507294696,-0.6808605645329089,-0.5880097174654461,-0.5272799520347126,37.053200234334454,34.81689944221698,33.27106391367159,36.923164052110636,37.13200306355917,35.90193497314713,36.9631549428551
61,Miguel Montero,2019,3364,-0.7044685896710576,-0.4864715621875949,-0.8078637629256695,-0.8518274976693181,-0.6644097005710318,-0.8556394282979872,-0.8752553454499328,36.18441644339097,34.63816551418958,32.95468939113219,36.102110589608884,36.14678541742565,35.465540951455665,36.14052269513634
208,Ehire Adrianza,2019,8418,-0.7335108992811671,-0.9112314052619253,-0.5702022147944353,-0.514606474401788,-0.559006582698963,-0.5161763463484861,0.1972036812252387,35.2372641771277,34.562067826860044,35.79621325921926,35.18377691592703,35.35501685935275,34.78565762333765,35.182513449593884
254,Trayce Thompson,2019,9952,-0.945000539363053,-0.2081131272837226,-1.2572548834624762,-1.2490777543170377,-1.005804516090098,-1.2584545145570722,-1.0447682615061062,34.32833580268794,34.55911950055499,32.80001082714294,34.429658456251246,34.20261157328031,35.21840503759077,34.39464539332708
221,Tyler Flowers,2019,9134,-0.5396453958727717,-0.589805906757604,-0.8668239919405414,-0.9686432656221242,-0.827085342733644,-0.887315430452779,-0.9412705996118276,34.16361089048699,34.12776431842836,32.14517483069204,34.25097892463536,34.1762576103325,34.92832104649138,34.23293333174653
460,Tyler White,2019,15564,-0.7863833093016386,-0.4290931575054434,-1.345118349744062,-1.3551680503047958,-1.2048326864188763,-1.167465577808923,-0.8170734053386931,33.43834318052137,34.10089617878452,31.586150064327843,33.61388271523677,33.430481728205166,34.96408181303289,33.53891624277283
176,Logan Forsythe,2019,7185,-0.5255460865339793,-1.0116768735445256,-0.09455036725502249,-0.16591808898747745,-0.37216381055357917,-0.3868762783379581,-0.3513339268144387,34.1012299871101,34.09258116251232,35.484619729741624,34.117638057755066,34.04287589799546,34.27246757208243,34.12833305117866
202,Hunter Pence,2019,8252,-0.8427805466568081,-0.7505186560097645,-0.644853129755482,-0.563571226396138,-0.8961359324395466,-0.5736430432420541,-0.8584724700964045,34.044868956719185,34.057003778376966,31.659755763687343,34.145155538769934,33.61759086870931,34.91753022533477,34.10794648220994
