"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","wRC","wRAA","wOBA","Spd","wRC+","wSB","UBR","wGDP","FB%+","BB%+","LD+%","GB%+","Hard%","Med%","Soft%","Oppo%","Cent%","Pull%","HR/FB","playerid"
"2014","Jamie Romak","Dodgers","15","21","23","1","0","1","0","0","2","3","2","0","8","0","0","0","1","0","0",".048","8.7 %","34.8 %","0.25",".130",".095",".226",".048",".077","-1","-3.4",".116","2.6","-32","0.0","0.0","0.0","113","111","37","120","30.8 %","46.2 %","23.1 %","30.8 %","46.2 %","23.1 %","0.0 %","5552"
"2014","Joey Butler","Cardinals","6","5","6","0","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0",".000","16.7 %","50.0 %","0.33",".167",".000",".167",".000",".000","0","-0.9",".115","0.1","-36","0.0","0.0","0.0","0","213","238","112","0.0 %","100.0 %","0.0 %","50.0 %","0.0 %","50.0 %","0.0 %","7799"
"2016","Will Venable","Dodgers","12","18","19","1","0","1","0","0","2","0","0","0","5","1","0","0","0","0","0",".056","0.0 %","26.3 %","0.00",".105",".111",".216",".056",".077","-1","-3.4",".103","2.6","-44","0.0","0.1","0.1","23","0","109","155","23.1 %","61.5 %","15.4 %","7.7 %","30.8 %","61.5 %","0.0 %","211"
"2019","Mike Gerber","Giants","12","24","26","1","0","1","0","0","0","0","2","0","15","0","0","0","0","0","0",".042","7.7 %","57.7 %","0.13",".115",".083",".199",".042",".111","-2","-4.9",".100","0.1","-45","0.0","0.0","0.2","63","87","51","156","33.3 %","55.6 %","11.1 %","11.1 %","22.2 %","66.7 %","0.0 %","16115"
"2015","Andrew Lambo","Pirates","20","25","27","1","0","1","0","0","1","0","2","0","8","0","0","0","0","0","0",".040","7.4 %","29.6 %","0.25",".111",".080",".191",".040",".059","-2","-4.7",".097","1.6","-50","0.0","0.1","0.1","89","93","110","103","29.4 %","52.9 %","17.7 %","17.7 %","29.4 %","52.9 %","0.0 %","5386"
"2014","Tommy Pham","Cardinals","6","2","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","0.0 %","100.0 %","0.00",".000",".000",".000",".000",".000","0","-0.5",".000","0.1","-100","0.0","0.0","0.0","","0","","","","","","","","","0.0 %","2967"
"2014","Jason Pridie","Rockies","2","4","4","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0",".000","0.0 %","50.0 %","0.00",".000",".000",".000",".000",".000","-1","-1.0",".000","0.1","-100","0.0","0.0","0.0","0","0","0","223","0.0 %","50.0 %","50.0 %","0.0 %","100.0 %","0.0 %","0.0 %","4611"
"2014","Jose Constanza","Braves","12","4","4","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0",".000","0.0 %","25.0 %","0.00",".000",".000",".000",".000",".000","-1","-1.0",".000","0.1","-100","0.0","0.1","0.0","98","0","0","149","0.0 %","66.7 %","33.3 %","33.3 %","33.3 %","33.3 %","0.0 %","6003"
"2015","Gorkys Hernandez","Pirates","8","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",".000","0.0 %","0.0 %","0.00",".000",".000",".000",".000",".000","-1","-1.3",".000","2.5","-100","0.2","0.0","0.0","0","0","0","220","0.0 %","40.0 %","60.0 %","20.0 %","40.0 %","40.0 %","0.0 %","4146"
"2015","Jordany Valdespin","Marlins","2","4","4","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","0.0 %","25.0 %","0.00",".000",".000",".000",".000",".000","-1","-1.0",".000","0.1","-100","0.0","0.0","0.0","0","0","0","220","0.0 %","66.7 %","33.3 %","0.0 %","100.0 %","0.0 %","0.0 %","5098"
"2015","Keon Broxton","Pirates","7","2","2","0","0","0","0","0","3","0","0","0","1","0","0","0","0","1","1",".000","0.0 %","50.0 %","0.00",".000",".000",".000",".000",".000","0","-0.5",".000","0.5","-100","-0.2","0.0","0.0","0","0","0","220","0.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","0.0 %","9253"
"2016","Zach Walters","Dodgers","3","5","5","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0",".000","0.0 %","40.0 %","0.00",".000",".000",".000",".000",".000","-1","-1.3",".000","0.1","-100","0.0","0.0","0.0","98","0","157","75","66.7 %","33.3 %","0.0 %","0.0 %","33.3 %","66.7 %","0.0 %","10622"
"2018","Aristides Aquino","Reds","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0",".000","0.0 %","100.0 %","0.00",".000",".000",".000",".000",".000","0","-0.3",".000","0.1","-100","0.0","-0.3","0.0","","0","","","","","","","","","0.0 %","15482"
"2019","Jim Adduci","Cubs","2","5","5","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0",".000","0.0 %","60.0 %","0.00",".000",".000",".000",".000",".000","-1","-1.4",".000","0.1","-100","0.0","0.0","0.0","0","0","0","233","0.0 %","50.0 %","50.0 %","0.0 %","50.0 %","50.0 %","0.0 %","6448"
"2019","Michael Reed","Giants","4","8","8","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0",".000","0.0 %","75.0 %","0.00",".000",".000",".000",".000",".000","-1","-2.2",".000","0.1","-100","0.0","0.0","0.0","141","0","230","0","0.0 %","50.0 %","50.0 %","0.0 %","50.0 %","50.0 %","0.0 %","13228"
"2019","Sam Haggerty","Mets","11","4","4","0","0","0","0","0","2","0","0","0","3","0","0","0","0","0","0",".000","0.0 %","75.0 %","0.00",".000",".000",".000",".000",".000","-1","-1.1",".000","0.1","-100","0.0","0.2","0.0","282","0","0","0","0.0 %","0.0 %","100.0 %","100.0 %","0.0 %","0.0 %","0.0 %","18054"
