Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2018,Max Kepler,Twins,CF,156,532,611,119,65,30,4,20,80,58,71,2,96,5,3,0,8,4,5,0.224,11.60%,15.70%,0.74,0.319,0.408,0.727,0.184,3.9,0.236,72,0.9,0.316,98,-1.6,1.5,0.9,140,75,89,127,9.90%,43.10%,32.40%,24.60%,19.40%,43.50%,37.10%,12144
2016,Jarrod Dyson,Royals,CF,107,299,337,83,60,14,8,1,46,25,26,2,39,3,1,8,4,30,7,0.278,7.70%,11.60%,0.67,0.34,0.388,0.728,0.11,8.7,0.315,39,-0.5,0.316,95,2.9,1.7,0.7,96,98,127,68,1.70%,34.90%,39.00%,26.00%,26.80%,56.10%,17.10%,4866
2018,Adam Jones,Orioles,CF,145,580,613,163,113,35,0,15,54,63,24,1,93,5,4,0,21,7,1,0.281,3.90%,15.20%,0.26,0.313,0.419,0.732,0.138,3,0.311,72,0.3,0.315,96,0.6,1,-2.5,47,97,101,100,8.40%,39.90%,33.60%,26.50%,19.40%,49.30%,31.40%,6368
2017,Delino DeShields,Rangers,CF,120,376,440,101,78,15,2,6,75,22,44,0,109,3,4,13,2,29,8,0.269,10.00%,24.80%,0.4,0.347,0.367,0.714,0.098,7.1,0.358,51,-2.2,0.315,86,2.1,5.3,1.8,119,99,104,96,6.80%,39.40%,31.00%,29.60%,20.10%,56.00%,23.90%,11379
2017,Jackie Bradley Jr.,Red Sox,CF,133,482,541,118,79,19,3,17,58,63,48,4,124,9,2,0,8,8,3,0.245,8.90%,22.90%,0.39,0.323,0.402,0.726,0.158,4.5,0.294,62,-3.7,0.313,89,0,3.4,1.6,105,91,113,89,14.50%,41.90%,33.60%,24.40%,17.50%,49.20%,33.30%,12984
2017,Byron Buxton,Twins,CF,140,462,511,117,81,14,6,16,69,51,38,2,150,4,2,5,1,29,1,0.253,7.40%,29.40%,0.25,0.314,0.413,0.728,0.16,8.2,0.339,58,-4,0.312,92,5.1,4.4,2.3,88,114,89,104,14.20%,47.30%,32.90%,19.80%,18.20%,54.20%,27.60%,14161
2018,Jackie Bradley Jr.,Red Sox,CF,144,474,535,111,61,33,4,13,76,59,46,3,137,11,4,0,6,17,1,0.234,8.60%,25.60%,0.34,0.314,0.403,0.717,0.169,7.1,0.299,61,-1.9,0.31,90,2.7,2.3,0.7,104,97,102,100,10.60%,45.20%,34.30%,20.50%,10.00%,49.00%,41.10%,12984
2016,Jacoby Ellsbury,Yankees,CF,148,551,626,145,107,24,5,9,71,56,54,1,84,2,3,4,11,20,8,0.263,8.60%,13.40%,0.64,0.33,0.374,0.703,0.111,5.7,0.295,69,-5,0.308,90,0.4,2.3,-0.2,108,111,105,87,6.20%,39.20%,37.80%,23.00%,22.20%,51.30%,26.60%,4727
2016,Eddie Rosario,Twins,CF,92,335,354,90,61,17,2,10,52,32,12,2,91,2,3,2,4,5,2,0.269,3.40%,25.70%,0.13,0.295,0.421,0.716,0.152,5.6,0.338,38,-4.2,0.304,86,0,3.1,0.9,42,94,105,97,11.90%,36.10%,39.80%,24.10%,18.50%,51.40%,30.10%,12155
2016,Byron Buxton,Twins,CF,92,298,331,67,32,19,6,10,44,38,23,0,118,3,3,4,2,10,2,0.225,6.90%,35.60%,0.19,0.284,0.43,0.714,0.205,7.9,0.329,35,-3.9,0.304,86,1.1,2.9,1.7,87,106,80,122,13.50%,47.60%,28.90%,23.50%,16.60%,56.20%,27.30%,14161
2017,Kevin Pillar,Blue Jays,CF,154,587,632,150,96,37,1,16,72,42,33,0,95,6,3,3,13,15,6,0.256,5.20%,15.00%,0.35,0.3,0.404,0.704,0.148,4.4,0.28,67,-9.9,0.302,86,0.1,1,-0.1,62,101,100,100,8.90%,40.20%,34.90%,24.90%,22.50%,50.20%,27.30%,12434
2018,Kevin Pillar,Blue Jays,CF,142,512,542,129,72,40,2,15,65,59,18,0,98,6,6,0,8,14,3,0.252,3.30%,18.10%,0.18,0.282,0.426,0.708,0.174,5.6,0.281,58,-5.7,0.302,89,1.3,2.1,1.1,40,125,84,104,9.50%,40.70%,35.00%,24.30%,21.40%,44.50%,34.10%,12434
2016,Rajai Davis,Indians,CF,134,454,495,113,76,23,2,12,74,48,33,0,106,5,2,1,9,43,6,0.249,6.70%,21.40%,0.31,0.306,0.388,0.693,0.139,7.8,0.299,52,-6.7,0.302,83,5.9,4.2,-0.1,83,93,102,101,9.60%,43.60%,31.30%,25.10%,19.10%,54.40%,26.50%,3708
2016,Coco Crisp,Athletics,CF,122,446,498,103,59,27,4,13,54,55,46,2,78,0,2,4,7,10,5,0.231,9.20%,15.70%,0.59,0.302,0.397,0.698,0.166,5.1,0.252,52,-6.9,0.301,88,-0.3,0.4,0.3,115,107,91,107,9.40%,41.40%,36.60%,21.90%,16.60%,58.80%,24.60%,1572
2017,Mallex Smith,Rays,CF,81,256,282,69,55,8,4,2,33,12,23,0,62,0,1,2,2,16,5,0.27,8.20%,22.00%,0.37,0.329,0.355,0.684,0.086,7.2,0.347,30,-4.8,0.301,88,0.9,1.4,0.9,97,109,116,76,4.10%,37.10%,24.40%,38.60%,25.90%,52.80%,21.30%,13608
2017,Cameron Maybin,Angels,CF,114,395,450,90,58,20,2,10,63,35,51,1,94,2,1,1,12,33,8,0.228,11.30%,20.90%,0.54,0.318,0.365,0.683,0.137,6.9,0.274,47,-7.9,0.3,87,2.9,2.9,-1.3,135,71,133,76,12.00%,38.90%,34.30%,26.70%,20.10%,52.50%,27.40%,5223
2017,Bradley Zimmer,Indians,CF,101,299,332,72,47,15,2,8,41,39,26,1,99,4,3,0,5,18,1,0.241,7.80%,29.80%,0.26,0.307,0.385,0.692,0.144,7,0.328,34,-6.2,0.299,79,3,2.9,0.8,93,100,111,87,13.10%,37.90%,36.00%,26.10%,18.20%,48.30%,33.50%,16221
2016,Leonys Martin,Mariners,CF,143,518,576,128,93,17,3,15,72,47,44,0,149,3,7,4,10,24,6,0.247,7.60%,25.90%,0.3,0.306,0.378,0.684,0.131,6.2,0.313,58,-9.7,0.298,89,2,2,0.6,95,98,98,104,11.30%,45.80%,31.30%,22.90%,22.10%,48.40%,29.50%,11846
2017,Jarrod Dyson,Mariners,CF,111,346,390,87,66,13,3,5,56,30,28,2,55,10,2,4,3,28,7,0.251,7.20%,14.10%,0.51,0.324,0.35,0.674,0.098,7.5,0.285,39,-8.2,0.296,86,2.4,2.5,0.7,85,94,108,93,5.30%,39.70%,33.00%,27.30%,30.00%,54.20%,15.80%,4866
2016,Carlos Gomez,Astros,CF,118,411,453,95,59,22,1,13,45,53,34,2,136,5,0,3,11,18,5,0.231,7.50%,30.00%,0.25,0.298,0.384,0.682,0.153,5,0.313,45,-8.4,0.296,83,1.3,-0.2,-0.6,94,103,101,98,14.30%,44.60%,31.70%,23.70%,21.90%,47.80%,30.20%,4881
