,Name,Season,playerid,weightWRC,weightPA,weightH,weightAB,weightRBI,weightG,weight2B,runsPredicted,linearSVRRuns,svrRuns,BayesRidgeRuns,HuberRegressorRuns,RidgeRuns,ARDRegressionRuns
233,Matt Adams,2019,9393,-0.3775033384766592,-0.7089340036600974,-0.6335041858395206,-0.6629845107483031,0.218399194399781,0.1391913071485164,-0.6928762110655585,42.213867831506136,41.32448440827943,43.55159406870291,42.06320823792033,42.28852240113136,41.755279356509035,42.175104624392034
142,Hernan Perez,2019,5751,-0.6735888345912994,-0.4724293350224449,-0.3102540158132009,-0.3321014896955743,-0.5864748905183051,0.4369805750158332,-0.7239255096338422,42.61446889930858,41.18398968040145,44.228339594435816,42.44489087558306,42.268975520162,42.09448711539502,42.53506324056106
251,Colby Rasmus,2019,9893,-0.7335108992811671,-0.23328215612068456,-0.7077320026603793,-0.2623638126127123,0.021050260116981048,-0.43907389905894756,-1.1482659234003851,41.04577141632576,40.91517439151063,42.60314393786861,41.171946455987666,40.78182285888392,41.45400364556927,41.030041745959615
386,Orlando Arcia,2019,13185,-0.800482618640431,-0.3085936986477583,-0.23842064469624089,-0.17556266135000093,-0.6909537380797874,0.10802731399961109,-0.5583292506029962,41.38051284242128,40.78976383027419,44.10240088733704,41.36191664416401,40.99677690632862,41.34533545074506,41.37792449897512
172,Martin Maldonado,2019,6887,-0.7969577913057329,-0.2861323614028416,-0.537726357683574,-0.23046253479821152,-0.5245614993707601,0.024923332269197143,-0.4030827577615781,41.61153244046724,40.68868387326138,42.95875524389726,41.586165672414765,41.489404557017835,41.536053011820066,41.62557012389574
444,Adam Engel,2019,15082,-0.9661495033712415,-0.18109257840455456,-0.4754707693822087,-0.10211553335847595,-1.0392165632847286,0.3296379319473817,-0.6100780815501354,42.38445822576544,40.67348108371039,45.26841459293275,42.30556618994499,42.037780730548135,42.127467702632856,42.34138368759963
391,Omar Narvaez,2019,13338,-0.5220212591992812,-0.9143891766944825,-0.7340709054032646,-0.982739179075043,-1.0933907805388305,-0.8580564736164513,-0.8584724700964046,41.3476751917501,40.66480632785541,35.89115755368251,41.35758554448548,41.118083245878445,41.36295770456257,41.320359312335846
41,Peter Bourjos,2019,2578,-0.6410216976464918,-0.6314762027964705,-0.5754892809418434,-0.591424043881184,-0.7999831027413407,-0.1699523599886528,-0.40951586692567843,41.81693159945816,40.60808488404008,40.62573836578204,41.716104831121996,41.697198522843,41.4940460842011,41.79614266326968
76,Chris Young,2019,3882,-0.5247023956014546,-0.7959724667371842,-0.7047893489523713,-0.8073140867653635,-0.6722867334995289,-0.7620682298178525,-0.3784665683573948,41.300979579223416,40.440285394724114,38.1434699625907,41.24415353941218,41.221623781516435,41.11148406492603,41.27814963809302
168,Derek Norris,2019,6867,-1.015497086057015,0.03757514595036995,-0.6837875456213927,0.07890567098427247,-0.44330017348960715,0.1842059639191573,-0.4237822901404338,41.84011761354147,40.315310137381914,45.1108139984302,41.813171794604564,41.70774900643315,41.74509650395429,41.8272442008834
499,Guillermo Heredia,2019,18721,-0.7758088272975442,-0.5853966488130555,-0.681393099917494,-0.6244062212982091,-1.2752613670347444,0.1634299684865538,-0.6721766786867028,41.12359930235313,40.27445933959456,41.62876319734359,41.13971206155422,41.12680616184307,41.166233281234085,41.20337202920331
450,Chad Pinder,2019,15191,-0.5713688418850545,-0.8357744963372741,-0.7556209167383525,-0.8247165703660045,-0.8496068028953716,-0.5741178693708702,-0.8481227039069767,42.40920648191131,40.25156938347914,36.57179698734838,42.20164999618392,42.043252272144514,41.7253415945326,42.228250781187626
92,James Loney,2019,4556,-0.6982626259341861,-0.5702022147944353,-0.3485651470755795,-0.45525525986318194,-0.7528671292273326,-0.6814605124393217,-0.5272799520347126,40.9322658156511,40.06204801458455,40.62055951360375,40.86829102894296,40.40771129654732,40.73792777570553,40.840713033295906
418,Daniel Robertson,2019,14145,-0.5361205685380737,-0.9124072939964017,-0.9639376929775363,-1.0502511856127075,-0.9269985418298032,-1.2320243914033142,-0.8067236391492651,40.39457434656853,39.959895434458424,34.01016311600394,40.472691943077436,40.310634781831624,40.61618288199456,40.39597392899744
194,Eric Sogard,2019,7927,-0.5572695325462622,-1.0128226840325,-0.8992876589722725,-1.152632030691803,-1.3720010407027836,-0.8892204667653566,-0.6307776139289913,39.9623603548952,39.7238004713986,35.15600844566423,40.05233751135734,40.03525669070293,40.225546165471,40.0517216914741
221,Tyler Flowers,2019,9134,-0.5396453958727717,-0.8668239919405414,-0.887315430452779,-0.9686432656221242,-0.6445186947191286,-1.1246817483348628,-0.9412705996118276,39.64572404925571,39.51805665535888,34.64703638483351,39.73593924461876,39.51809652916009,39.92094321014232,39.644933728958854
433,Franmil Reyes,2019,14566,-0.4867729858523002,-1.1053105432762746,-0.7795653737773393,-1.0636052088838939,-0.8689547376289797,-1.1316070801457307,-1.2517635852946638,42.15754323644906,39.27508770270988,33.95814294568565,41.83041330349473,41.405103584242134,41.084426916924066,41.79446133166833
466,Willy Adames,2019,15986,-0.5925178058932431,-0.8542720681860291,-0.6119541745044327,-0.8632948598160984,-0.7528671292273326,-1.200860398254409,-1.4587589090832214,39.55199678397443,39.2547361413811,36.312771219898096,39.60569300000236,38.89288407551183,39.72342683612298,39.425114520498084
284,Tyler Saladino,2019,10807,-0.7256175536792462,-0.6037298450233383,-0.5898559551652354,-0.5736186795196022,-0.6838954943396937,-0.6997402435200419,-0.5958116583353802,39.44687946141958,39.05406607191222,38.32672976329438,39.475271383038304,39.189563039541696,39.54189977589911,39.44010851060125
45,Manny Pina,2019,2829,-0.6841633165953938,-0.7181827895844749,-0.5760374889459526,-0.6763385340194894,-0.8109109334281561,-0.6572218511012842,-0.5893785491712799,39.66864375730556,38.988393086229095,37.817294079254154,39.63941801269668,39.39299949826331,39.57841744226634,39.63648348640622
238,Adam Rosales,2019,9682,-0.6304472156423975,-0.6830051529465737,-0.6976060118406753,-0.6804508656890931,-0.4168939950159054,-0.3049963303005755,-0.4405651654939621,39.095698252277344,38.95815662420608,38.946023463307064,39.114894971084766,39.21379945675366,39.16952252622934,39.17335051036437
448,Mitch Garver,2019,15161,-0.5572695325462622,-0.7749967602627936,-0.5880097174654461,-0.7594302343735378,-0.3272125650879601,-0.5775805352763043,-0.2167869663518763,37.839613276487846,38.646177506234594,39.38321122265855,37.94054731444937,38.02942773416306,38.18925754087758,37.99138201448046
58,Charlie Culberson,2019,3298,-0.5220212591992812,-0.8608783438462987,-0.6119541745044327,-0.8039436452774924,-0.3272125650879601,-0.2313139447329126,-0.32028462824615506,39.006306110277556,38.64382598792659,39.62538396378886,38.92322503224584,39.12990035975523,38.76372531444941,39.049134249852415
471,Yairo Munoz,2019,16313,-0.5572695325462622,-0.8146344142244113,-0.5880097174654461,-0.8262003507294696,-0.44330017348960715,-0.4044472400046084,-0.5272799520347126,37.49053359053194,38.634280037242746,38.332870639606206,37.645865667121896,37.677226693685256,38.01773262209784,37.67399831245304
208,Ehire Adrianza,2019,8418,-0.7335108992811671,-0.5702022147944353,-0.5161763463484861,-0.514606474401788,-0.5593877818912542,-0.19668728567857344,0.1972036812252387,37.83216767520787,38.3469388106017,42.41546018452749,37.91189747235758,38.121585086600504,38.113563948442525,38.03397285012417
