Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2018,Nick Williams,Phillies,RF,140,407,448,104,72,12,3,17,53,50,32,2,111,9,0,0,4,3,2,0.256,7.10%,24.80%,0.29,0.324,0.425,0.749,0.17,4.1,0.312,56,3.6,0.324,102,-0.5,-0.1,1,80,112,101,91,18.10%,34.80%,40.20%,25.00%,16.90%,53.00%,30.10%,14330
2018,Jose Bautista,Mets,RF,122,325,399,66,35,18,0,13,52,48,67,2,111,6,1,0,2,4,3,0.203,16.80%,27.80%,0.6,0.348,0.378,0.727,0.175,2.9,0.262,50,3.1,0.324,106,-0.7,0.1,1,187,92,78,132,13.10%,50.20%,31.20%,18.60%,18.10%,42.30%,39.50%,1887
2016,Nick Markakis,Braves,RF,158,599,684,161,110,38,0,13,67,89,71,9,101,5,9,0,16,0,2,0.269,10.40%,14.80%,0.7,0.346,0.397,0.744,0.129,1.3,0.3,82,1.4,0.321,98,-1.2,-0.9,-0.5,120,103,96,103,7.30%,33.50%,37.30%,29.20%,14.00%,53.10%,32.90%,5930
2017,Nick Markakis,Braves,RF,160,593,670,163,115,39,1,8,76,76,68,8,110,6,3,0,16,0,2,0.275,10.10%,16.40%,0.62,0.354,0.384,0.738,0.11,1.9,0.324,81,-0.2,0.321,94,-1.3,0.8,-0.4,113,108,110,83,5.60%,33.30%,36.60%,30.00%,15.60%,51.20%,33.10%,5930
2016,Ichiro Suzuki,Marlins,RF,143,327,365,95,74,15,5,1,48,22,30,1,42,3,2,3,4,10,2,0.291,8.20%,11.50%,0.71,0.354,0.376,0.73,0.086,6.6,0.329,44,0.7,0.32,102,0.9,-0.3,0.6,95,130,108,71,1.40%,32.10%,37.60%,30.30%,25.90%,52.40%,21.70%,1101
2016,Yasiel Puig,Dodgers,RF,104,334,368,88,61,14,2,11,45,45,24,0,74,7,3,0,10,5,2,0.263,6.50%,20.10%,0.32,0.323,0.416,0.74,0.153,4.8,0.306,44,0.7,0.32,101,0,0.2,0.1,75,77,108,103,12.00%,43.00%,34.20%,22.80%,20.50%,48.30%,31.20%,14225
2018,Jason Heyward,Cubs,RF,127,440,489,119,84,23,4,8,67,57,42,1,60,2,2,2,7,1,1,0.27,8.60%,12.30%,0.7,0.335,0.395,0.731,0.125,4,0.297,59,1.8,0.319,99,-0.5,3.5,1.3,96,83,111,98,6.20%,42.20%,32.00%,25.80%,25.50%,44.80%,29.70%,4940
2018,Domingo Santana,Brewers,RF,85,211,235,56,36,14,1,5,21,20,20,1,77,1,3,0,3,1,1,0.265,8.50%,32.80%,0.26,0.328,0.412,0.74,0.147,2.8,0.386,28,0.9,0.319,98,-0.3,0,0.4,95,107,113,79,13.20%,38.70%,41.60%,19.70%,12.40%,47.50%,40.20%,10348
2016,Trayce Thompson,Dodgers,RF,80,236,262,53,29,11,0,13,31,32,26,0,66,0,0,0,3,5,1,0.225,9.90%,25.20%,0.39,0.302,0.436,0.738,0.212,3.7,0.255,31,0,0.318,100,0.5,2.6,1.1,115,78,116,93,24.10%,41.20%,41.80%,17.10%,19.40%,49.40%,31.20%,9952
2017,John Jaso,Pirates,RF,126,256,302,54,25,19,0,10,28,35,40,2,66,5,1,0,5,1,1,0.211,13.20%,21.90%,0.61,0.328,0.402,0.73,0.191,1.6,0.243,36,-1,0.317,94,-0.4,1.8,0.4,147,94,76,134,11.10%,47.10%,34.00%,18.90%,19.90%,44.00%,36.10%,5887
