"Name","Team","PA","HR","R","RBI","AVG","OPS","playerid"
"Francisco Mejia","Padres","244","8","27","22",".265",".754","16403"
"Victor Robles","Nationals","617","17","86","65",".255",".745","18363"
"Wil Myers","Padres","490","18","58","53",".239",".739","10047"
"Josh VanMeter","Reds","260","8","33","23",".237",".735","15170"
"Pedro Severino","Orioles","341","13","37","44",".249",".740","14523"
"Trent Grisham","Brewers","183","6","24","24",".231",".738","18564"
"Curt Casali","Reds","236","8","24","32",".251",".741","12510"
"Niko Goodrum","Tigers","472","12","61","45",".248",".743","12092"
"Cesar Hernandez","Phillies","667","14","77","71",".279",".741","10556"
"Colin Moran","Pirates","503","13","46","80",".277",".751","16909"
"Jean Segura","Phillies","618","12","79","60",".280",".743","5933"
"Austin Romine","Yankees","240","8","29","35",".281",".748","5491"
"Nick Senzel","Reds","414","12","55","42",".256",".742","19293"
"Tim Beckham","Mariners","328","15","39","47",".237",".753","7949"
"Matt Carpenter","Cardinals","492","15","59","46",".226",".726","8090"
"Nick Ahmed","Diamondbacks","625","19","79","82",".254",".753","12147"
"Jordy Mercer","Tigers","271","9","24","22",".270",".747","6547"
"Travis d'Arnaud","- - -","391","16","52","69",".251",".745","7739"
"Tim Locastro","Diamondbacks","250","1","38","17",".250",".697","15124"
"Jackie Bradley Jr.","Red Sox","567","21","69","62",".225",".738","12984"
"Ryan Zimmerman","Nationals","190","6","20","27",".257",".736","4220"
"Marwin Gonzalez","Twins","463","15","52","55",".264",".736","5497"
"Willy Adames","Rays","584","20","69","52",".254",".735","15986"
"Mauricio Dubon","- - -","111","4","12","9",".274",".740","16530"
"Jorge Alfaro","Marlins","465","18","44","57",".262",".736","12180"
"Adeiny Hechavarria","- - -","221","9","34","33",".241",".742","10459"
"JaCoby Jones","Tigers","333","11","39","26",".235",".740","14818"
"Brian McCann","Braves","316","12","28","45",".249",".734","4810"
"Tyler Flowers","Braves","310","11","36","34",".229",".733","9134"
"Eric Hosmer","Padres","667","22","72","99",".265",".735","3516"
"Adam Haseley","Phillies","242","5","30","26",".266",".720","19878"
"Albert Pujols","Angels","545","23","55","93",".244",".734","1177"
"Harold Ramirez","Marlins","446","11","54","50",".276",".728","14387"
"Adam Jones","Diamondbacks","528","16","66","67",".260",".728","6368"
"Ben Gamel","Brewers","356","7","47","33",".248",".710","12160"
"Rowdy Tellez","Blue Jays","409","21","49","54",".227",".742","15679"
"Robinson Cano","Mets","423","13","46","39",".256",".736","3269"
"Tyler O'Neill","Cardinals","151","5","18","16",".262",".723","15711"
"Manny Pina","Brewers","179","7","10","25",".228",".724","2829"
"Josh Reddick","Astros","550","14","57","56",".275",".728","3892"
"Ryon Healy","Mariners","187","7","24","26",".237",".744","15447"
"Freddy Galvis","- - -","589","23","67","70",".260",".734","6609"
