Season,Name,Team,Position,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wRC,wRAA,wOBA,wRC+,wSB,UBR,wGDP,BB%+,LD+%,GB%+,FB%+,HR/FB,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerid
2017,Kolten Wong,Cardinals,2B,108,354,411,101,67,27,3,4,55,42,41,11,60,12,3,1,4,8,2,0.285,10.00%,14.60%,0.68,0.376,0.412,0.788,0.127,5.4,0.331,55,5.2,0.336,108,0.5,1.6,1.6,111,98,109,90,4.30%,38.30%,33.20%,28.50%,20.80%,51.00%,28.20%,12532
2016,Cesar Hernandez,Phillies,2B,155,547,622,161,130,14,11,6,67,39,66,4,116,2,2,5,6,17,13,0.294,10.60%,18.60%,0.57,0.371,0.393,0.764,0.099,5.7,0.363,82,8.5,0.335,107,-2.4,2.2,1,123,115,123,61,7.10%,36.50%,34.00%,29.50%,19.00%,55.00%,26.00%,10556
2017,Josh Harrison,Pirates,2B,128,486,542,132,88,26,2,16,66,47,28,2,90,23,3,2,5,12,4,0.272,5.20%,16.60%,0.31,0.339,0.432,0.771,0.16,4.9,0.303,71,5.1,0.332,104,0.4,0.7,1.1,57,111,82,116,10.00%,43.90%,31.90%,24.20%,18.70%,48.90%,32.40%,8202
2018,Asdrubal Cabrera,Mets,2B,147,546,592,143,83,36,1,23,68,75,41,1,119,3,2,0,16,0,0,0.262,6.90%,20.10%,0.34,0.316,0.458,0.774,0.196,1.8,0.296,77,8.1,0.332,111,-0.3,1,-0.3,77,87,97,111,13.90%,47.80%,32.40%,19.80%,15.40%,46.20%,38.50%,4962
2018,Ketel Marte,Diamondbacks,2B,153,520,580,135,83,26,12,14,68,59,54,3,79,3,2,1,12,6,1,0.26,9.30%,13.60%,0.68,0.332,0.437,0.768,0.177,5.8,0.282,75,7.3,0.33,105,0.5,-1,-0.5,104,90,118,83,10.90%,36.70%,39.20%,24.10%,21.00%,43.00%,36.00%,13613
2017,Joe Panik,Giants,2B,138,511,573,147,104,28,5,10,60,53,46,4,54,5,8,3,10,4,1,0.288,8.00%,9.40%,0.85,0.347,0.421,0.768,0.133,4.2,0.301,74,3.7,0.329,104,0,-2.5,0.4,89,107,100,97,6.40%,36.10%,36.80%,27.10%,20.10%,53.90%,26.10%,11936
2017,Javier Baez,Cubs,2B,145,469,508,128,79,24,2,23,75,75,30,15,144,1,2,6,10,10,3,0.273,5.90%,28.30%,0.21,0.317,0.48,0.796,0.207,5.3,0.345,64,2,0.326,98,0.5,2.8,0.5,66,75,110,102,19.70%,39.90%,38.10%,21.90%,21.30%,46.30%,32.40%,12979
2017,Brandon Drury,Diamondbacks,2B,135,445,480,119,67,37,2,13,41,63,28,1,103,5,2,0,9,1,1,0.267,5.80%,21.50%,0.27,0.317,0.447,0.764,0.18,2.4,0.32,60,1.5,0.325,92,-0.5,0.1,0,65,106,110,83,12.90%,39.20%,34.60%,26.20%,16.60%,51.70%,31.70%,11615
2018,Ozzie Albies,Braves,2B,158,639,684,167,98,40,5,24,105,72,36,0,116,5,3,1,9,14,3,0.261,5.30%,17.00%,0.31,0.305,0.452,0.757,0.191,6.2,0.285,85,5.1,0.324,101,1.2,4,0.4,59,97,90,114,11.50%,44.80%,31.10%,24.10%,16.30%,49.30%,34.40%,16556
2017,Brandon Phillips,Braves,2B,120,470,499,137,98,27,1,11,68,52,19,1,57,8,1,1,19,10,8,0.291,3.80%,11.40%,0.33,0.329,0.423,0.753,0.132,4.4,0.313,62,1.1,0.323,95,-1.7,1.9,-2.3,42,111,114,76,10.00%,31.30%,35.40%,33.30%,21.70%,52.50%,25.80%,791
