Name,Season,League,Position,playerid,runsPredicted,HRsPredicted,RBIsPredicted,AVGPredicted,opsPredicted,linearSvrRBI,linearSvrAVG,linearSvrHR,linearSvrOPS,linearSVRRuns,svrRBI,svrAVG,SvrHR,svrOPS,svrRuns,runsActual,HRsActual,RBIsActuals,AVGActuals,OpsActuals
Adam Duvall,2019,NL,OF,10950,54.79250532,21.99786274,64.33384823,0.226773153,0.697227055,63.5701321,0.226381836,21.65041223,0.697211464,54.40729345,63.03624696,0.2565,22.80209366,0.774051337,41.699762,17,10,19,0.267,0.882
Matt Wieters,2019,NL,C,4298,35.70493568,7.823636831,38.30499314,0.229488566,0.683109105,35.70684702,0.229398708,7.835840444,0.682820852,36.06381473,32.79459695,0.2565,7.688875765,0.747826317,70.45863021,15,11,27,0.214,0.702
Francisco Cervelli,2019,NL,C,5275,46.23826885,8.985572319,38.62309842,0.257020458,0.768900924,38.68035338,0.260099245,9.060460658,0.769188795,47.14538055,37.83320866,0.2565,8.743577606,0.794983992,66.17378477,15,3,12,0.213,0.649
Scooter Gennett,2019,NL,2B,10339,77.93253756,23.68254354,78.28498312,0.297022766,0.842995434,77.41353849,0.299624698,23.43054053,0.843621395,78.07467365,81.32471226,0.2565,24.33171598,0.812220997,52.5124219,15,2,11,0.226,0.568
Wilmer Difo,2019,NL,2B,14320,45.41454367,6.664811311,32.5834077,0.247094062,0.660272203,32.57068305,0.245871651,6.651968539,0.659718662,45.05406919,34.9349991,0.2565,6.278266057,0.719114824,28.58486468,15,2,8,0.252,0.628
Lewis Brinson,2019,NL,OF,14352,36.77400661,13.07498852,36.11816737,0.21212925,0.577997866,38.17888516,0.208289909,12.84980858,0.577274426,34.80897606,37.87825458,0.2565,11.23765613,0.641633277,25.39004518,15,0,15,0.173,0.457
Jung Ho Kang,2019,NL,3B,17182,49.88797496,22.72408726,58.49799179,0.249786626,0.866983646,57.11884059,0.253235749,22.77735036,0.867991809,49.44018298,56.95822541,0.2565,21.41387955,0.82746537,24.58769898,15,10,24,0.169,0.617
Charlie Culberson,2019,NL,OF,3298,39.00630611,14.76649269,38.80784409,0.27044375,0.791969731,39.18552799,0.275462384,14.91356769,0.792282574,38.64382599,39.45129601,0.2565,14.36999219,0.800279405,77.50217529,14,5,20,0.259,0.731
Mark Reynolds,2019,NL,1B,7619,46.44472597,19.47279559,51.32009281,0.260661673,0.814718118,50.16116996,0.266063417,19.503622,0.815245319,46.220968,50.97012446,0.2565,19.14862509,0.806739473,53.26871419,13,4,20,0.17,0.601
Kevin Plawecki,2019,NL,C,13807,29.6284126,8.624599498,25.37734139,0.215059545,0.684984752,25.92217251,0.216007944,8.697915623,0.685030922,29.39630034,24.94910631,0.2565,8.005819818,0.764560923,29.86392512,13,3,17,0.222,0.629
