"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2018","Justin Upton","Angels","145","533","613","137","88","18","1","30","80","85","64","1","176","10","6","0","12","8","2",".257","10.4 %","28.7 %","0.36",".344",".463",".808",".206","3.8",".321","88","16.7",".348","123","0.4","-0.3","-0.2","126","103","100","98","23.1 %","46.6 %","32.5 %","20.9 %","16.8 %","39.4 %","43.8 %","5222"
"2018","Matt Kemp","Dodgers","146","462","506","134","88","25","0","21","62","85","36","2","115","1","7","0","14","0","0",".290","7.1 %","22.7 %","0.31",".338",".481",".818",".190","1.2",".339","73","13.7",".348","122","-0.3","-2.7","-1.2","79","123","81","109","15.6 %","42.1 %","35.9 %","22.0 %","13.8 %","42.7 %","43.5 %","5631"
"2017","Brandon Nimmo","Mets","69","177","215","46","29","11","1","5","26","21","33","1","60","2","2","1","3","2","0",".260","15.3 %","27.9 %","0.55",".379",".418",".797",".158","4.5",".360","31","4.9",".348","118","0.2","-0.3","0.6","171","119","97","93","12.8 %","32.5 %","36.7 %","30.8 %","15.0 %","50.0 %","35.0 %","12927"
"2016","Michael Saunders","Blue Jays","140","490","558","124","65","32","3","24","70","57","59","2","157","5","3","1","14","1","2",".253","10.6 %","28.1 %","0.38",".338",".478",".815",".224","3.0",".321","79","13.5",".348","119","-0.9","1.4","-1.4","132","110","93","104","19.5 %","41.3 %","33.2 %","25.5 %","16.0 %","46.6 %","37.4 %","9981"
"2017","Ryan Braun","Brewers","104","380","425","102","55","28","2","17","58","52","38","2","76","3","4","0","15","12","4",".268","8.9 %","17.9 %","0.50",".336",".487",".823",".218","5.3",".292","61","9.2",".347","111","0.5","0.5","-1.3","99","92","111","91","17.3 %","38.6 %","35.1 %","26.3 %","19.2 %","41.9 %","39.0 %","3410"
"2016","Yasmany Tomas","Diamondbacks","140","530","563","144","82","30","1","31","72","83","31","4","136","1","1","0","18","2","4",".272","5.5 %","24.2 %","0.23",".313",".508",".820",".236","2.5",".310","79","12.4",".345","109","-1.5","-1.9","-2.2","64","99","107","92","25.0 %","41.0 %","29.4 %","29.6 %","14.9 %","44.1 %","41.0 %","17171"
"2018","Joey Gallo","Rangers","148","500","577","103","38","24","1","40","82","92","74","4","207","3","0","0","3","3","4",".206","12.8 %","35.9 %","0.36",".312",".498",".810",".292","3.1",".249","81","13.4",".343","108","-1.3","1.6","2.5","154","97","70","137","27.6 %","45.1 %","31.4 %","23.6 %","12.6 %","38.9 %","48.5 %","14128"
"2018","Kyle Schwarber","Cubs","137","428","510","102","59","14","3","26","64","61","78","20","140","1","2","1","6","4","3",".238","15.3 %","27.5 %","0.56",".356",".467",".823",".229","3.8",".288","71","11.7",".343","115","-0.7","0.4","1.4","170","88","101","106","24.5 %","43.6 %","33.3 %","23.0 %","16.8 %","43.0 %","40.2 %","16478"
"2016","Melky Cabrera","White Sox","151","591","646","175","114","42","5","14","70","86","47","2","69","0","5","3","17","2","0",".296","7.3 %","10.7 %","0.68",".345",".455",".800",".159","3.4",".314","89","12.9",".342","116","0.0","-2.4","-1.2","91","107","98","98","7.6 %","38.7 %","32.8 %","28.5 %","18.5 %","52.8 %","28.7 %","4022"
"2018","Michael Conforto","Mets","153","543","638","132","78","25","1","28","78","82","84","8","159","7","4","0","10","3","4",".243","13.2 %","24.9 %","0.53",".350",".448",".797",".204","2.4",".289","89","14.4",".342","120","-1.4","0.9","0.6","147","90","101","105","19.7 %","43.0 %","31.7 %","25.3 %","17.8 %","46.4 %","35.8 %","16376"
"2017","David Peralta","Diamondbacks","140","525","577","154","106","31","3","14","82","57","43","1","94","6","3","0","7","8","4",".293","7.5 %","16.3 %","0.46",".352",".444",".796",".150","4.6",".333","81","10.2",".342","104","-0.5","0.8","0.9","83","90","124","75","12.2 %","31.3 %","38.7 %","30.0 %","21.2 %","47.0 %","31.8 %","2136"
"2017","Michael Brantley","Indians","90","338","375","101","71","20","1","9","47","52","31","3","50","2","4","0","8","11","1",".299","8.3 %","13.3 %","0.62",".357",".444",".801",".145","5.0",".325","52","6.6",".342","109","1.5","2.3","0.3","98","110","114","78","10.8 %","39.7 %","34.9 %","25.3 %","14.0 %","52.1 %","33.9 %","4106"
"2018","Curtis Granderson","- - -","123","343","403","83","46","22","2","13","60","38","54","1","106","4","1","1","3","2","1",".242","13.4 %","26.3 %","0.51",".351",".431",".782",".190","4.2",".311","56","8.8",".341","116","-0.3","-3.3","1.0","159","145","75","102","14.8 %","52.7 %","28.9 %","18.4 %","15.5 %","47.3 %","37.2 %","4747"
"2017","Corey Dickerson","Rays","150","588","629","166","102","33","4","27","84","62","35","6","152","3","2","0","11","4","3",".282","5.6 %","24.2 %","0.23",".325",".490",".815",".207","4.0",".338","87","10.6",".341","116","-0.8","0.4","0.3","66","110","97","98","17.2 %","34.3 %","36.8 %","29.0 %","18.7 %","47.7 %","33.6 %","10762"
"2018","Corey Dickerson","Pirates","135","504","533","151","96","35","7","13","65","55","21","4","80","4","4","0","14","8","3",".300","3.9 %","15.0 %","0.26",".330",".474",".804",".175","5.6",".333","74","11.2",".341","115","0.1","-1.4","-1.8","44","125","87","101","8.7 %","31.1 %","36.2 %","32.7 %","17.8 %","48.1 %","34.1 %","10762"
"2018","Eddie Rosario","Twins","138","559","592","161","104","31","2","24","87","77","30","5","104","0","2","1","4","8","2",".288","5.1 %","17.6 %","0.29",".323",".479",".803",".191","4.7",".316","81","12.2",".340","114","0.5","4.5","2.7","61","95","84","121","12.0 %","43.5 %","33.2 %","23.4 %","17.5 %","46.1 %","36.5 %","12155"
"2018","Hunter Renfroe","Padres","117","403","441","100","50","23","1","26","53","68","30","2","109","3","5","0","9","2","1",".248","6.8 %","24.7 %","0.28",".302",".504",".805",".256","2.8",".271","60","8.5",".338","114","-0.2","-0.4","-0.5","76","90","87","123","20.3 %","48.8 %","33.1 %","18.1 %","18.1 %","34.8 %","47.2 %","15464"
"2017","Brian Goodwin","Nationals","74","251","278","63","28","21","1","13","41","30","23","2","69","1","3","0","3","6","0",".251","8.3 %","24.8 %","0.33",".313",".498",".811",".247","6.0",".291","38","3.8",".337","103","1.1","-1.7","0.4","92","93","86","122","16.5 %","45.4 %","29.2 %","25.4 %","16.2 %","49.7 %","34.1 %","12858"
"2017","Gerardo Parra","Rockies","115","392","425","121","86","24","1","10","56","71","20","0","67","4","9","0","13","2","5",".309","4.7 %","15.8 %","0.30",".341",".452",".793",".143","3.0",".343","57","5.6",".337","91","-2.0","-1.2","-1.1","52","112","106","86","10.1 %","33.2 %","37.1 %","29.6 %","14.4 %","50.9 %","34.7 %","8553"
"2017","Brett Gardner","Yankees","151","594","682","157","106","26","4","21","96","63","72","2","122","8","3","5","4","23","5",".264","10.6 %","17.9 %","0.59",".350",".428",".778",".163","6.0",".300","92","8.9",".336","110","2.0","2.4","1.6","125","110","103","91","13.5 %","37.3 %","35.4 %","27.3 %","20.0 %","51.3 %","28.8 %","9927"
"2016","Alex Dickerson","Padres","84","253","285","65","37","16","2","10","39","37","26","2","44","4","2","0","5","5","1",".257","9.1 %","15.4 %","0.59",".333",".455",".788",".198","5.4",".274","38","4.2",".336","111","0.4","-0.8","0.4","106","106","83","119","11.8 %","43.1 %","29.9 %","27.0 %","23.7 %","42.2 %","34.1 %","12649"
"2016","Jefry Marte","Angels","88","258","284","65","36","14","0","15","38","44","18","0","59","5","3","0","8","2","2",".252","6.3 %","20.8 %","0.31",".310",".481",".790",".229","2.8",".267","38","4.1",".335","113","-0.6","0.5","-1.2","79","73","105","110","19.0 %","50.5 %","29.7 %","19.8 %","21.3 %","42.6 %","36.1 %","5107"
"2016","Matt Holliday","Cardinals","110","382","426","94","53","20","1","20","48","62","35","1","71","8","1","0","9","0","0",".246","8.2 %","16.7 %","0.49",".322",".461",".782",".215","1.6",".253","56","6.1",".335","109","-0.2","-1.5","-0.2","95","66","112","105","17.9 %","37.8 %","34.0 %","28.2 %","17.6 %","43.9 %","38.5 %","1873"
"2016","Brandon Drury","Diamondbacks","134","461","499","130","82","31","1","16","59","53","31","2","100","3","4","0","14","1","1",".282","6.2 %","20.0 %","0.31",".329",".458",".786",".176","2.4",".327","66","7.0",".335","102","-0.5","1.4","-2.8","72","96","112","87","14.8 %","45.8 %","32.1 %","22.2 %","17.3 %","49.9 %","32.9 %","11615"
"2016","Rickie Weeks Jr.","Diamondbacks","108","180","205","43","24","9","1","9","29","27","20","0","54","4","1","0","8","5","0",".239","9.8 %","26.3 %","0.37",".327",".450",".777",".211","6.2",".288","27","2.8",".335","102","0.9","1.0","-0.7","113","85","100","108","19.1 %","40.2 %","40.9 %","18.9 %","15.8 %","44.1 %","40.2 %","1849"
"2018","Charlie Culberson","Braves","113","296","322","80","48","18","2","12","47","45","21","5","85","4","1","0","5","4","2",".270","6.5 %","26.4 %","0.25",".326",".466",".792",".196","5.0",".340","43","5.3",".335","108","-0.2","1.0","-0.2","73","93","120","80","20.7 %","42.5 %","31.6 %","25.9 %","21.7 %","46.7 %","31.6 %","3298"
"2017","Ezequiel Carrera","Blue Jays","131","287","325","81","62","10","1","8","38","20","30","0","75","3","0","5","4","10","1",".282","9.2 %","23.1 %","0.40",".356",".408",".764",".125","5.1",".358","43","3.7",".334","108","1.3","1.0","0.5","110","112","112","80","13.6 %","37.8 %","39.6 %","22.6 %","24.4 %","49.8 %","25.8 %","9048"
"2018","Mark Canha","Athletics","122","365","411","91","52","22","0","17","60","52","34","3","88","10","2","0","11","1","2",".249","8.3 %","21.4 %","0.39",".328",".449",".778",".200","2.5",".282","55","6.5",".334","114","-0.8","0.8","-0.5","100","103","90","110","15.2 %","44.8 %","34.1 %","21.2 %","18.6 %","44.1 %","37.3 %","11445"
"2018","Chad Pinder","Athletics","110","298","333","77","51","12","1","13","43","27","27","1","88","6","0","2","4","0","2",".258","8.1 %","26.4 %","0.31",".332",".436",".769",".178","2.8",".325","44","5.1",".333","114","-1.0","0.0","0.9","98","91","103","102","16.9 %","37.7 %","36.8 %","25.5 %","13.2 %","40.6 %","46.2 %","15191"
