"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2018","Zack Greinke","Diamondbacks","34","64","71","15","11","4","0","0","6","5","3","0","16","0","0","4","3","3","0",".234","4.2 %","22.5 %","0.19",".269",".297",".566",".063","5.5",".313","5","-3.8",".250","52","0.6","","","47","125","105","78","0.0 %","34.6 %","28.9 %","36.5 %","17.3 %","51.9 %","30.8 %","1943"
"2018","Max Scherzer","Nationals","35","70","78","17","15","2","0","0","8","6","1","0","14","2","0","5","1","1","0",".243","1.3 %","17.9 %","0.07",".274",".271",".545",".029","4.7",".304","5","-4.5",".244","47","0.2","","","14","69","153","54","0.0 %","27.9 %","52.5 %","19.7 %","24.6 %","60.7 %","14.8 %","3137"
"2016","Jose Fernandez","Marlins","30","52","61","13","11","2","0","0","3","6","1","0","13","0","0","8","1","0","0",".250","1.6 %","21.3 %","0.08",".264",".288",".553",".038","0.9",".333","3","-3.8",".242","50","0.0","","","19","74","153","46","0.0 %","46.8 %","29.8 %","23.4 %","25.5 %","63.8 %","10.6 %","11530"
"2016","Jason Hammel","Cubs","35","65","69","16","13","3","0","0","6","7","1","0","24","0","0","3","0","0","0",".246","1.4 %","34.8 %","0.04",".258",".292",".550",".046","1.7",".390","4","-4.4",".240","44","0.0","","","17","87","124","77","0.0 %","25.0 %","31.8 %","43.2 %","31.8 %","47.7 %","20.5 %","4538"
"2017","Taijuan Walker","Diamondbacks","28","52","54","12","10","1","0","1","6","5","1","0","19","0","0","1","1","0","0",".231","1.9 %","35.2 %","0.05",".245",".308",".553",".077","2.1",".344","3","-3.7",".239","36","0.0","","","21","103","137","52","16.7 %","20.6 %","52.9 %","26.5 %","35.3 %","50.0 %","14.7 %","11836"
"2017","Zack Greinke","Diamondbacks","33","62","70","13","9","4","0","0","4","4","2","0","18","1","0","5","0","0","0",".210","2.9 %","25.7 %","0.11",".246",".274",".520",".065","1.2",".295","3","-5.4",".230","30","0.0","","","32","166","92","71","0.0 %","34.7 %","40.8 %","24.5 %","20.4 %","44.9 %","34.7 %","1943"
"2016","Carlos Martinez","Cardinals","33","59","65","14","13","1","0","0","5","6","0","0","13","1","1","4","1","0","0",".237","0.0 %","20.0 %","0.00",".246",".254",".500",".017","1.7",".298","2","-5.3",".219","32","0.0","","","0","60","167","37","0.0 %","33.3 %","45.1 %","21.6 %","37.3 %","41.2 %","21.6 %","11682"
"2017","Jacob deGrom","Mets","37","71","77","15","13","1","0","1","6","4","2","0","22","0","0","4","0","1","0",".211","2.6 %","28.6 %","0.09",".233",".268",".500",".056","3.9",".292","3","-6.6",".219","34","0.2","","","29","139","101","75","7.7 %","34.0 %","34.0 %","32.1 %","28.3 %","47.2 %","24.5 %","10954"
"2016","Zack Greinke","Diamondbacks","27","52","60","11","10","1","0","0","4","3","3","0","9","0","2","3","0","1","0",".212","5.0 %","15.0 %","0.33",".246",".231",".476",".019","4.0",".244","2","-5.2",".212","20","0.2","","","58","99","104","95","0.0 %","31.3 %","35.4 %","33.3 %","18.8 %","54.2 %","27.1 %","1943"
"2016","Stephen Strasburg","Nationals","24","48","57","10","9","1","0","0","3","2","2","0","11","0","0","7","2","0","0",".208","3.5 %","19.3 %","0.18",".240",".229",".469",".021","1.1",".270","2","-5.1",".211","22","0.0","","","41","83","165","26","0.0 %","18.2 %","56.8 %","25.0 %","36.4 %","52.3 %","11.4 %","10131"
