"Season","Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","wSB","UBR","wGDP","BB%+","LD+%","GB%+","FB%+","HR/FB","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"2017","Mike Zunino","Mariners","124","387","435","97","47","25","0","25","52","64","39","0","160","8","1","0","8","1","0",".251","9.0 %","36.8 %","0.24",".331",".509",".840",".258","1.9",".355","65","12.4",".355","126","0.0","-1.8","0.1","106","110","74","125","24.0 %","50.9 %","32.5 %","16.7 %","17.5 %","43.9 %","38.6 %","13265"
"2018","J.T. Realmuto","Marlins","125","477","531","132","78","30","3","21","74","74","38","0","104","10","4","0","9","3","2",".277","7.2 %","19.6 %","0.37",".340",".484",".825",".208","4.1",".312","79","16.6",".353","126","-0.5","3.8","1.5","80","104","92","107","14.9 %","45.1 %","35.3 %","19.6 %","18.0 %","43.5 %","38.5 %","11739"
"2018","Yasmani Grandal","Dodgers","140","440","518","106","57","23","2","24","65","68","72","1","124","3","3","0","12","2","1",".241","13.9 %","23.9 %","0.58",".349",".466",".815",".225","3.1",".278","76","15.6",".352","125","-0.3","-4.8","-1.0","155","79","95","119","18.0 %","48.3 %","32.9 %","18.8 %","19.8 %","39.5 %","40.8 %","11368"
"2016","Yasmani Grandal","Dodgers","126","390","457","89","47","14","1","27","49","72","64","1","116","2","1","0","11","1","3",".228","14.0 %","25.4 %","0.55",".339",".477",".816",".249","1.9",".250","66","12.0",".350","121","-1.3","-3.4","-0.9","162","76","100","115","25.2 %","42.9 %","37.5 %","19.6 %","17.5 %","43.6 %","38.9 %","11368"
"2018","Omar Narvaez","White Sox","97","280","322","77","53","14","1","9","30","30","38","1","65","2","0","2","5","0","2",".275","11.8 %","20.2 %","0.58",".366",".429",".794",".154","1.9",".330","46","8.6",".348","122","-1.0","-1.9","-0.3","142","136","99","80","14.5 %","34.6 %","37.3 %","28.1 %","18.0 %","53.5 %","28.6 %","13338"
"2016","Evan Gattis","Astros","128","447","499","112","61","19","0","32","58","72","43","6","127","4","5","0","12","2","1",".251","8.6 %","25.5 %","0.34",".319",".508",".826",".257","1.9",".273","70","11.1",".345","121","-0.2","-0.2","-1.1","107","88","93","115","24.1 %","46.6 %","36.7 %","16.7 %","17.6 %","50.0 %","32.4 %","11003"
"2017","Welington Castillo","Orioles","96","341","365","96","65","11","0","20","44","53","22","0","97","0","2","0","10","0","0",".282","6.0 %","26.6 %","0.23",".323",".490",".813",".208","1.0",".336","51","7.0",".344","112","-0.2","-1.3","-0.8","72","120","91","99","22.5 %","41.1 %","36.6 %","22.4 %","12.2 %","48.8 %","39.0 %","3256"
"2016","Yadier Molina","Cardinals","147","534","581","164","117","38","1","8","56","58","39","1","63","6","2","0","22","3","2",".307","6.7 %","10.8 %","0.62",".360",".427",".787",".120","2.3",".335","80","11.4",".342","114","-0.6","-4.0","-2.9","78","103","108","87","5.7 %","37.6 %","34.5 %","27.9 %","15.6 %","53.3 %","31.1 %","7007"
"2016","Buster Posey","Giants","146","539","614","155","106","33","2","14","82","80","64","7","68","3","8","0","18","6","1",".288","10.4 %","11.1 %","0.94",".362",".434",".796",".147","4.1",".303","84","11.6",".341","114","0.4","-2.3","-1.4","121","101","109","88","9.8 %","35.5 %","35.3 %","29.2 %","15.0 %","48.9 %","36.1 %","9166"
"2018","Elias Diaz","Pirates","82","252","277","72","50","12","0","10","33","34","21","1","40","1","3","0","4","0","1",".286","7.6 %","14.4 %","0.53",".339",".452",".792",".167","1.5",".302","38","5.7",".340","114","-0.6","1.3","-0.3","84","92","103","101","13.2 %","37.7 %","35.8 %","26.5 %","19.5 %","44.2 %","36.3 %","11680"
